Promotion event summary,Promotion type,URL,country_code,search_type,Start date,End date,Mechanic,Offerings,Company name,Campaign name
"April 2025's Top Marketing Campaigns & Key Takeaways
Snippet: Highlights of marketing creativity in April 2025, including campaigns that emphasize personal connection and community drive.",Promotion,https://www.linkedin.com/pulse/april-2025s-top-marketing-campaigns-key-takeaways-diginext-info-zovwe,Indonesia,web_search,,,,,,,
"'Never again until next year': Nike employs Holocaust joke in new ad
Snippet: Nike uses a controversial reference in a new campaign, leading to immediate backlash and calls for crisis management. This ad appeared during a sensitive time.",Promotion,https://www.israelhayom.com/2025/04/28/never-again-until-next-year-nike-employs-holocaust-joke-in-new-ad/,Indonesia,web_search,,,,,,,
"Nike Sparks Backlash for 'Never Again' Ads at London Marathon
Snippet: Criticism arises against Nike for the contentious 'Never Again' phrase used in marathon advertisements, highlighting concerns over rising antisemitism.",Promotion,https://www.adweek.com/brand-marketing/nike-sparks-backlash-for-never-again-ads-at-london-marathon/,Indonesia,web_search,,,,,,,
"Nike apologises and withdraws 'Never Again' marathon ad
Snippet: The company issued an apology and removed a controversial advertisement displayed at the London Marathon following public backlash.",Promotion,https://bestmediainfo.com/mediainfo/advertising/nike-apologises-and-withdraws-never-again-marathon-ad-9016668,Indonesia,web_search,,,,,,,
"Nike faces criticism over marathon ad campaign amid global concerns on antisemitism
Snippet: Criticism focused on the phrasing used in Nike's advertisements during the marathon, reflecting a broader societal issue.",Promotion,https://www.storyboard18.com/advertising/nike-faces-criticism-over-marathon-ad-campaign-amid-global-concerns-on-antisemitism-63824.htm,Indonesia,web_search,,,,,,,
Nike's ad for Rory McIlroy after his Masters victory.,Promotion,https://www.instagram.com/reel/DIaB0Z3Ouc_/?hl=en,Indonesia,web_search,,,,,,,
Nike released a 'sharp advertisement' shortly after Rory McIlroy's first Masters win. The video opens with a pimento cheese sandwich and proceeds to showcase his victory.,Promotion,https://www.sportsbusinessjournal.com/Articles/2025/04/14/nike-drops-well-timed-ad-after-mcilroys-victory/,Indonesia,web_search,,,,,,,
Highlights from Nike's ad campaign honoring UConn winning the NCAA Championship.,Promotion,https://www.instagram.com/p/DIJbasjRJ3z/?hl=en,Indonesia,web_search,,,,,,,
"Nike's 30-second TV commercial, '2025 Masters: McIlroy', highlights Rory McIlroy's achievement.",Promotion,https://www.ispot.tv/ad/TN7E/nike-2025-masters-mcilroy,Indonesia,web_search,,,,,,,
"Promo Nike Factory FLASHTIVITIES Diskon Hingga 80% + Lucky Dip Cashback
Dari 14 sampai 30 April 2025, kamu bisa dapetin: Diskon hingga 80%. Lucky Dip Cashback hingga Rp. 1.000.000. Berlaku untuk pembelanjaan mulai dari Rp. 500.000.",Promotion,https://katalogpromosi.com/promo-nike-factory-flashtivities-diskon-hingga-80-cashback-rp-1-000-000/,Indonesia,web_search,14 April 2025,30 April 2025,Lucky Dip,Diskon hingga 80%. Lucky Dip Cashback hingga Rp. 1.000.000.,Nike,Factory FLASHTIVITIES
